v-sweep,id,gm,
0.00000000e+00,7.56728014e-12,1.24344979e-10,
1.00000000e-03,7.69873054e-12,1.38555833e-10,
2.00000000e-03,7.84439180e-12,1.47437618e-10,
3.00000000e-03,7.99360578e-12,1.47437618e-10,
4.00000000e-03,8.13926704e-12,1.49213975e-10,
5.00000000e-03,8.29203373e-12,1.52766688e-10,
6.00000000e-03,8.44480041e-12,1.52766688e-10,
7.00000000e-03,8.59756710e-12,1.61648472e-10,
8.00000000e-03,8.76809736e-12,1.68753900e-10,
9.00000000e-03,8.93507490e-12,1.66977543e-10,
1.00000000e-02,9.10205245e-12,1.68753900e-10,
1.10000000e-02,9.27258270e-12,1.72306613e-10,
1.20000000e-02,9.44666567e-12,1.79412041e-10,
1.30000000e-02,9.63140678e-12,1.88293825e-10,
1.40000000e-02,9.82325332e-12,1.90070182e-10,
1.50000000e-02,1.00115471e-11,1.90070182e-10,
1.60000000e-02,1.02033937e-11,1.98951966e-10,
1.70000000e-02,1.04094511e-11,2.06057393e-10,
1.80000000e-02,1.06155085e-11,2.07833750e-10,
1.90000000e-02,1.08251186e-11,2.11386464e-10,
2.00000000e-02,1.10382814e-11,2.18491891e-10,
2.10000000e-02,1.12621024e-11,2.25597319e-10,
2.20000000e-02,1.14894760e-11,2.23820962e-10,
2.30000000e-02,1.17097443e-11,2.27373675e-10,
2.40000000e-02,1.19442234e-11,2.39808173e-10,
2.50000000e-02,1.21893606e-11,2.45137244e-10,
2.60000000e-02,1.24344979e-11,2.48689958e-10,
2.70000000e-02,1.26867405e-11,2.61124455e-10,
2.80000000e-02,1.29567468e-11,2.66453526e-10,
2.90000000e-02,1.32196476e-11,2.62900812e-10,
3.00000000e-02,1.34825484e-11,2.73558953e-10,
3.10000000e-02,1.37667655e-11,2.84217094e-10,
3.20000000e-02,1.40509826e-11,2.89546165e-10,
3.30000000e-02,1.43458578e-11,2.96651592e-10,
3.40000000e-02,1.46442858e-11,3.00204306e-10,
3.50000000e-02,1.49462664e-11,3.07309733e-10,
