v-sweep,id,gm,
0.00000000e+00,3.24518190e-13,7.04991621e-12,
1.00000000e-03,3.31623617e-13,7.16093851e-12,
2.00000000e-03,3.38840067e-13,7.16093851e-12,
3.00000000e-03,3.45945494e-13,7.27196081e-12,
4.00000000e-03,3.53383989e-13,7.60502772e-12,
5.00000000e-03,3.61155550e-13,7.77156117e-12,
6.00000000e-03,3.68927111e-13,7.88258347e-12,
7.00000000e-03,3.76920717e-13,8.27116153e-12,
8.00000000e-03,3.85469434e-13,8.38218384e-12,
9.00000000e-03,3.93685085e-13,8.49320614e-12,
1.00000000e-02,4.02455846e-13,8.82627305e-12,
1.10000000e-02,4.11337631e-13,9.04831765e-12,
1.20000000e-02,4.20552482e-13,9.27036226e-12,
1.30000000e-02,4.29878355e-13,9.43689571e-12,
1.40000000e-02,4.39426273e-13,9.65894031e-12,
1.50000000e-02,4.49196236e-13,1.00475184e-11,
1.60000000e-02,4.59521310e-13,1.02695630e-11,
1.70000000e-02,4.69735362e-13,1.05471187e-11,
1.80000000e-02,4.80615547e-13,1.08801856e-11,
1.90000000e-02,4.91495733e-13,1.09356968e-11,
2.00000000e-02,5.02486941e-13,1.12132525e-11,
2.10000000e-02,5.13922238e-13,1.16573418e-11,
2.20000000e-02,5.25801624e-13,1.19904087e-11,
2.30000000e-02,5.37903055e-13,1.22124533e-11,
2.40000000e-02,5.50226531e-13,1.24900090e-11,
2.50000000e-02,5.62883073e-13,1.28230759e-11,
2.60000000e-02,5.75872683e-13,1.31006317e-11,
2.70000000e-02,5.89084337e-13,1.34336986e-11,
2.80000000e-02,6.02740080e-13,1.39332990e-11,
2.90000000e-02,6.16950935e-13,1.43218770e-11,
3.00000000e-02,6.31383834e-13,1.45994328e-11,
3.10000000e-02,6.46149800e-13,1.49324997e-11,
3.20000000e-02,6.61248833e-13,1.53765889e-11,
3.30000000e-02,6.76902978e-13,1.56541446e-11,
3.40000000e-02,6.92557123e-13,1.60982339e-11,
3.50000000e-02,7.09099446e-13,1.65978342e-11,
3.60000000e-02,7.25752791e-13,1.69864123e-11,
3.70000000e-02,7.43072270e-13,1.74305015e-11,
3.80000000e-02,7.60613794e-13,1.78745907e-11,
3.90000000e-02,7.78821452e-13,1.83186799e-11,
4.00000000e-02,7.97251154e-13,1.86517468e-11,
4.10000000e-02,8.16124945e-13,1.92623695e-11,
