v-sweep,id,gm,
0.00000000e+00,4.61852778e-13,9.43689571e-12,
1.00000000e-03,4.71178652e-13,9.21485110e-12,
2.00000000e-03,4.80282480e-13,9.43689571e-12,
3.00000000e-03,4.90052443e-13,9.65894031e-12,
4.00000000e-03,4.99600361e-13,9.88098492e-12,
5.00000000e-03,5.09814413e-13,1.02140518e-11,
6.00000000e-03,5.20028465e-13,1.02140518e-11,
7.00000000e-03,5.30242517e-13,1.05471187e-11,
8.00000000e-03,5.41122702e-13,1.11022302e-11,
9.00000000e-03,5.52446977e-13,1.15463195e-11,
1.00000000e-02,5.64215341e-13,1.16573418e-11,
1.10000000e-02,5.75761661e-13,1.18793864e-11,
1.20000000e-02,5.87974114e-13,1.22124533e-11,
1.30000000e-02,6.00186567e-13,1.23234756e-11,
1.40000000e-02,6.12621065e-13,1.26565425e-11,
1.50000000e-02,6.25499652e-13,1.31006317e-11,
1.60000000e-02,6.38822328e-13,1.35447209e-11,
1.70000000e-02,6.52589094e-13,1.37667655e-11,
1.80000000e-02,6.66355859e-13,1.42108547e-11,
1.90000000e-02,6.81010803e-13,1.44328993e-11,
2.00000000e-02,6.95221658e-13,1.47659662e-11,
2.10000000e-02,7.10542736e-13,1.53210777e-11,
2.20000000e-02,7.25863813e-13,1.57651669e-11,
2.30000000e-02,7.42073070e-13,1.60982339e-11,
2.40000000e-02,7.58060281e-13,1.63202785e-11,
2.50000000e-02,7.74713627e-13,1.68753900e-11,
2.60000000e-02,7.91811061e-13,1.75415238e-11,
2.70000000e-02,8.09796674e-13,1.77635684e-11,
2.80000000e-02,8.27338198e-13,1.78745907e-11,
2.90000000e-02,8.45545856e-13,1.85407245e-11,
3.00000000e-02,8.64419647e-13,1.93178806e-11,
3.10000000e-02,8.84181617e-13,1.98729921e-11,
3.20000000e-02,9.04165631e-13,2.00950367e-11,
3.30000000e-02,9.24371690e-13,2.06501483e-11,
3.40000000e-02,9.45465928e-13,2.10942375e-11,
3.50000000e-02,9.66560165e-13,2.16493490e-11,
3.60000000e-02,9.88764626e-13,2.24265051e-11,
3.70000000e-02,1.01141318e-12,2.27595720e-11,
3.80000000e-02,1.03428377e-12,2.33146835e-11,
3.90000000e-02,1.05804254e-12,2.38697950e-11,
4.00000000e-02,1.08202336e-12,2.45359288e-11,
4.10000000e-02,1.10711440e-12,2.54241073e-11,
4.20000000e-02,1.13287157e-12,2.59792188e-11,
4.30000000e-02,1.15907284e-12,2.64233080e-11,
4.40000000e-02,1.18571819e-12,2.74225087e-11,
4.50000000e-02,1.21391786e-12,2.80886425e-11,
4.60000000e-02,1.24189548e-12,2.84217094e-11,
4.70000000e-02,1.27076127e-12,2.94209102e-11,
4.80000000e-02,1.30073730e-12,3.00870440e-11,
4.90000000e-02,1.33093536e-12,3.07531778e-11,
5.00000000e-02,1.36224365e-12,3.16413562e-11,
5.10000000e-02,1.39421807e-12,3.25295346e-11,
5.20000000e-02,1.42730272e-12,3.34177130e-11,
