v-sweep,id,gm,
0.00000000e+00,7.02105041e-13,1.19904087e-11,
1.00000000e-03,7.14539539e-13,1.28785871e-11,
2.00000000e-03,7.27862215e-13,1.31006317e-11,
3.00000000e-03,7.40740802e-13,1.31006317e-11,
4.00000000e-03,7.54063478e-13,1.35447209e-11,
5.00000000e-03,7.67830244e-13,1.46549439e-11,
6.00000000e-03,7.83373366e-13,1.44328993e-11,
7.00000000e-03,7.96696042e-13,1.42108547e-11,
8.00000000e-03,8.11795076e-13,1.57651669e-11,
9.00000000e-03,8.28226376e-13,1.57651669e-11,
1.00000000e-02,8.43325410e-13,1.57651669e-11,
1.10000000e-02,8.59756710e-13,1.64313008e-11,
1.20000000e-02,8.76188011e-13,1.68753900e-11,
1.30000000e-02,8.93507490e-13,1.75415238e-11,
1.40000000e-02,9.11271059e-13,1.73194792e-11,
1.50000000e-02,9.28146449e-13,1.82076576e-11,
1.60000000e-02,9.47686374e-13,1.90958360e-11,
1.70000000e-02,9.66338121e-13,1.88737914e-11,
1.80000000e-02,9.85433957e-13,1.95399252e-11,
1.90000000e-02,1.00541797e-12,2.02060590e-11,
2.00000000e-02,1.02584607e-12,2.06501483e-11,
2.10000000e-02,1.04671827e-12,2.08721929e-11,
2.20000000e-02,1.06759046e-12,2.17603713e-11,
2.30000000e-02,1.09023901e-12,2.22044605e-11,
2.40000000e-02,1.11199938e-12,2.26485497e-11,
2.50000000e-02,1.13553611e-12,2.35367281e-11,
2.60000000e-02,1.15907284e-12,2.39808173e-11,
2.70000000e-02,1.18349774e-12,2.44249065e-11,
2.80000000e-02,1.20792265e-12,2.48689958e-11,
2.90000000e-02,1.23323574e-12,2.57571742e-11,
3.00000000e-02,1.25943700e-12,2.66453526e-11,
3.10000000e-02,1.28652644e-12,2.73114864e-11,
3.20000000e-02,1.31405997e-12,2.79776202e-11,
3.30000000e-02,1.34248168e-12,2.86437540e-11,
3.40000000e-02,1.37134748e-12,2.88657986e-11,
3.50000000e-02,1.40021328e-12,2.97539771e-11,
3.60000000e-02,1.43085543e-12,3.10862447e-11,
3.70000000e-02,1.46238577e-12,3.15303339e-11,
3.80000000e-02,1.49391610e-12,3.19744231e-11,
3.90000000e-02,1.52633461e-12,3.33066907e-11,
4.00000000e-02,1.56052948e-12,3.39728246e-11,
4.10000000e-02,1.59428026e-12,3.48610030e-11,
4.20000000e-02,1.63025149e-12,3.59712260e-11,
4.30000000e-02,1.66622272e-12,3.64153152e-11,
4.40000000e-02,1.70308212e-12,3.73034936e-11,
4.50000000e-02,1.74082970e-12,3.88578059e-11,
4.60000000e-02,1.78079773e-12,3.95239397e-11,
4.70000000e-02,1.81987758e-12,4.06341627e-11,
4.80000000e-02,1.86206606e-12,4.21884749e-11,
4.90000000e-02,1.90425453e-12,4.24105195e-11,
5.00000000e-02,1.94688710e-12,4.32986980e-11,
5.10000000e-02,1.99085193e-12,4.46309656e-11,
5.20000000e-02,2.03614903e-12,4.59632332e-11,
5.30000000e-02,2.08277839e-12,4.70734562e-11,
5.40000000e-02,2.13029594e-12,4.84057239e-11,
5.50000000e-02,2.17958984e-12,4.99600361e-11,
5.60000000e-02,2.23021601e-12,5.06261699e-11,
5.70000000e-02,2.28084218e-12,5.15143483e-11,
5.80000000e-02,2.33324471e-12,5.35127498e-11,
5.90000000e-02,2.38786768e-12,5.50670620e-11,
6.00000000e-02,2.44337883e-12,5.57331958e-11,
6.10000000e-02,2.49933407e-12,5.75095527e-11,
6.20000000e-02,2.55839794e-12,5.99520433e-11,
6.30000000e-02,2.61923816e-12,6.03961325e-11,
6.40000000e-02,2.67919020e-12,6.15063556e-11,
6.50000000e-02,2.74225087e-12,6.39488462e-11,
6.60000000e-02,2.80708790e-12,6.52811138e-11,
6.70000000e-02,2.87281310e-12,6.68354261e-11,
6.80000000e-02,2.94075875e-12,6.86117829e-11,
6.90000000e-02,3.01003666e-12,7.03881398e-11,
7.00000000e-02,3.08153503e-12,7.21644966e-11,
7.10000000e-02,3.15436566e-12,7.39408534e-11,
7.20000000e-02,3.22941673e-12,7.57172103e-11,
7.30000000e-02,3.30580008e-12,7.79376563e-11,
7.40000000e-02,3.38529205e-12,8.01581024e-11,
7.50000000e-02,3.46611628e-12,8.14903700e-11,
7.60000000e-02,3.54827279e-12,8.34887715e-11,
7.70000000e-02,3.63309383e-12,8.61533067e-11,
7.80000000e-02,3.72057940e-12,8.83737528e-11,
7.90000000e-02,3.80984133e-12,9.01501096e-11,
