v-sweep,id,gm,
0.00000000e+00,3.23652216e-12,5.86197757e-11,
1.00000000e-03,3.29336558e-12,5.50670620e-11,
2.00000000e-03,3.34665629e-12,5.50670620e-11,
3.00000000e-03,3.40349970e-12,5.68434189e-11,
4.00000000e-03,3.46034312e-12,6.03961325e-11,
5.00000000e-03,3.52429197e-12,6.21724894e-11,
6.00000000e-03,3.58468810e-12,6.21724894e-11,
7.00000000e-03,3.64863695e-12,6.57252031e-11,
8.00000000e-03,3.71613851e-12,6.75015599e-11,
9.00000000e-03,3.78364007e-12,6.57252031e-11,
1.00000000e-02,3.84758891e-12,6.75015599e-11,
1.10000000e-02,3.91864319e-12,7.28306304e-11,
1.20000000e-02,3.99325017e-12,7.28306304e-11,
1.30000000e-02,4.06430445e-12,7.28306304e-11,
1.40000000e-02,4.13891144e-12,7.63833441e-11,
1.50000000e-02,4.21707114e-12,7.81597009e-11,
1.60000000e-02,4.29523084e-12,7.99360578e-11,
1.70000000e-02,4.37694325e-12,8.17124146e-11,
1.80000000e-02,4.45865567e-12,8.34887715e-11,
1.90000000e-02,4.54392080e-12,8.52651283e-11,
2.00000000e-02,4.62918592e-12,8.88178420e-11,
2.10000000e-02,4.72155648e-12,9.23705556e-11,
2.20000000e-02,4.81392703e-12,9.23705556e-11,
2.30000000e-02,4.90629759e-12,9.41469125e-11,
2.40000000e-02,5.00222086e-12,9.76996262e-11,
2.50000000e-02,5.10169684e-12,9.94759830e-11,
2.60000000e-02,5.20117283e-12,9.94759830e-11,
2.70000000e-02,5.30064881e-12,1.03028697e-10,
2.80000000e-02,5.40723022e-12,1.08357767e-10,
2.90000000e-02,5.51736434e-12,1.11910481e-10,
3.00000000e-02,5.63105118e-12,1.11910481e-10,
3.10000000e-02,5.74118530e-12,1.13686838e-10,
3.20000000e-02,5.85842486e-12,1.17239551e-10,
3.30000000e-02,5.97566441e-12,1.22568622e-10,
3.40000000e-02,6.10356210e-12,1.26121336e-10,
3.50000000e-02,6.22790708e-12,1.24344979e-10,
3.60000000e-02,6.35225206e-12,1.29674049e-10,
3.70000000e-02,6.48725518e-12,1.33226763e-10,
3.80000000e-02,6.61870558e-12,1.36779477e-10,
3.90000000e-02,6.76081413e-12,1.40332190e-10,
4.00000000e-02,6.89936996e-12,1.43884904e-10,
4.10000000e-02,7.04858394e-12,1.47437618e-10,
4.20000000e-02,7.19424520e-12,1.49213975e-10,
4.30000000e-02,7.34701189e-12,1.54543045e-10,
4.40000000e-02,7.50333129e-12,1.56319402e-10,
4.50000000e-02,7.65965069e-12,1.61648472e-10,
4.60000000e-02,7.82662823e-12,1.66977543e-10,
4.70000000e-02,7.99360578e-12,1.68753900e-10,
4.80000000e-02,8.16413603e-12,1.72306613e-10,
4.90000000e-02,8.33821900e-12,1.79412041e-10,
5.00000000e-02,8.52296012e-12,1.82964754e-10,
5.10000000e-02,8.70414851e-12,1.88293825e-10,
5.20000000e-02,8.89954777e-12,1.91846539e-10,
5.30000000e-02,9.08784159e-12,1.95399252e-10,
5.40000000e-02,9.29034627e-12,2.02504680e-10,
5.50000000e-02,9.49285095e-12,2.06057393e-10,
5.60000000e-02,9.70246106e-12,2.11386464e-10,
5.70000000e-02,9.91562388e-12,2.14939178e-10,
5.80000000e-02,1.01323394e-11,2.20268248e-10,
5.90000000e-02,1.03561604e-11,2.27373675e-10,
6.00000000e-02,1.05870868e-11,2.32702746e-10,
6.10000000e-02,1.08215659e-11,2.39808173e-10,
6.20000000e-02,1.10667031e-11,2.45137244e-10,
6.30000000e-02,1.13118404e-11,2.50466314e-10,
6.40000000e-02,1.15676357e-11,2.57571742e-10,
6.50000000e-02,1.18269838e-11,2.62900812e-10,
6.60000000e-02,1.20934374e-11,2.68229883e-10,
6.70000000e-02,1.23634436e-11,2.75335310e-10,
6.80000000e-02,1.26441080e-11,2.84217094e-10,
6.90000000e-02,1.29318778e-11,2.89546165e-10,
7.00000000e-02,1.32232003e-11,2.94875235e-10,
7.10000000e-02,1.35216283e-11,3.03757020e-10,
7.20000000e-02,1.38307144e-11,3.12638804e-10,
7.30000000e-02,1.41469059e-11,3.19744231e-10,
7.40000000e-02,1.44702028e-11,3.26849658e-10,
7.50000000e-02,1.48006052e-11,3.35731443e-10,
7.60000000e-02,1.51416657e-11,3.42836870e-10,
7.70000000e-02,1.54862789e-11,3.49942297e-10,
7.80000000e-02,1.58415503e-11,3.62376795e-10,
7.90000000e-02,1.62110325e-11,3.69482223e-10,
8.00000000e-02,1.65805147e-11,3.76587650e-10,
8.10000000e-02,1.69642078e-11,3.90798505e-10,
8.20000000e-02,1.73621117e-11,3.97903932e-10,
8.30000000e-02,1.77600157e-11,4.03233003e-10,
8.40000000e-02,1.81685778e-11,4.15667500e-10,
8.50000000e-02,1.85913507e-11,4.28101998e-10,
8.60000000e-02,1.90247817e-11,4.38760139e-10,
8.70000000e-02,1.94688710e-11,4.47641924e-10,
8.80000000e-02,1.99200656e-11,4.60076421e-10,
8.90000000e-02,2.03890238e-11,4.72510919e-10,
9.00000000e-02,2.08650874e-11,4.83169060e-10,
9.10000000e-02,2.13553619e-11,4.93827201e-10,
9.20000000e-02,2.18527418e-11,5.06261699e-10,
9.30000000e-02,2.23678853e-11,5.18696197e-10,
9.40000000e-02,2.28901342e-11,5.31130695e-10,
9.50000000e-02,2.34301467e-11,5.45341550e-10,
9.60000000e-02,2.39808173e-11,5.57776048e-10,
9.70000000e-02,2.45456988e-11,5.71986902e-10,
9.80000000e-02,2.51247911e-11,5.86197757e-10,
9.90000000e-02,2.57180943e-11,5.98632255e-10,
1.00000000e-01,2.63220556e-11,6.14619466e-10,
1.01000000e-01,2.69473333e-11,6.30606678e-10,
1.02000000e-01,2.75832690e-11,6.44817533e-10,
1.03000000e-01,2.82369683e-11,6.60804744e-10,
1.04000000e-01,2.89048785e-11,6.78568313e-10,
1.05000000e-01,2.95941049e-11,6.94555524e-10,
1.06000000e-01,3.02939895e-11,7.10542736e-10,
1.07000000e-01,3.10151904e-11,7.30082661e-10,
1.08000000e-01,3.17541549e-11,7.47846229e-10,
1.09000000e-01,3.25108829e-11,7.65609798e-10,
1.10000000e-01,3.32853745e-11,7.83373366e-10,
1.11000000e-01,3.40776296e-11,8.01136935e-10,
1.12000000e-01,3.48876483e-11,8.22453217e-10,
1.13000000e-01,3.57225360e-11,8.45545856e-10,
1.14000000e-01,3.65787400e-11,8.63309424e-10,
1.15000000e-01,3.74491549e-11,8.82849349e-10,
1.16000000e-01,3.83444387e-11,9.07718345e-10,
1.17000000e-01,3.92645916e-11,9.30810984e-10,
1.18000000e-01,4.02060607e-11,9.52127266e-10,
1.19000000e-01,4.11688461e-11,9.73443548e-10,
1.20000000e-01,4.21529478e-11,1.00008890e-09,
1.21000000e-01,4.31690239e-11,1.02495790e-09,
1.22000000e-01,4.42028636e-11,1.04805054e-09,
1.23000000e-01,4.52651250e-11,1.07647224e-09,
1.24000000e-01,4.63558081e-11,1.10311760e-09,
1.25000000e-01,4.74713602e-11,1.12621024e-09,
1.26000000e-01,4.86082286e-11,1.15463195e-09,
1.27000000e-01,4.97806241e-11,1.18660637e-09,
1.28000000e-01,5.09814413e-11,1.21325172e-09,
1.29000000e-01,5.22071275e-11,1.24167343e-09,
