v-sweep,id,gm,
0.00000000e+00,-1.64011027e-11,4.01456646e-10,
-1.00000000e-03,-1.68114411e-11,4.19220214e-10,
-2.00000000e-03,-1.72395431e-11,4.31654712e-10,
-3.00000000e-03,-1.76747506e-11,4.41424675e-10,
-4.00000000e-03,-1.81223925e-11,4.53859172e-10,
-5.00000000e-03,-1.85824689e-11,4.65405492e-10,
-6.00000000e-03,-1.90532035e-11,4.75175455e-10,
-7.00000000e-03,-1.95328198e-11,4.87609952e-10,
-8.00000000e-03,-2.00284234e-11,5.00044450e-10,
-9.00000000e-03,-2.05329087e-11,5.11590770e-10,
-1.00000000e-02,-2.10516049e-11,5.26689803e-10,
-1.10000000e-02,-2.15862883e-11,5.40012479e-10,
-1.20000000e-02,-2.21316299e-11,5.52446977e-10,
-1.30000000e-02,-2.26911823e-11,5.66657832e-10,
-1.40000000e-02,-2.32649455e-11,5.80868686e-10,
-1.50000000e-02,-2.38529196e-11,5.95967720e-10,
-1.60000000e-02,-2.44568810e-11,6.10178574e-10,
-1.70000000e-02,-2.50732768e-11,6.26165786e-10,
-1.80000000e-02,-2.57092125e-11,6.42152997e-10,
-1.90000000e-02,-2.63575828e-11,6.55475674e-10,
-2.00000000e-02,-2.70201639e-11,6.73239242e-10,
-2.10000000e-02,-2.77040613e-11,6.91890989e-10,
-2.20000000e-02,-2.84039459e-11,7.07878201e-10,
-2.30000000e-02,-2.91198177e-11,7.23865412e-10,
-2.40000000e-02,-2.98516767e-11,7.44293516e-10,
-2.50000000e-02,-3.06084047e-11,7.62057084e-10,
-2.60000000e-02,-3.13757909e-11,7.79820652e-10,
-2.70000000e-02,-3.21680460e-11,7.99360578e-10,
-2.80000000e-02,-3.29745120e-11,8.18012325e-10,
-2.90000000e-02,-3.38040707e-11,8.40216785e-10,
-3.00000000e-02,-3.46549456e-11,8.58868532e-10,
-3.10000000e-02,-3.55218077e-11,8.80184814e-10,
-3.20000000e-02,-3.64153152e-11,9.03277453e-10,
-3.30000000e-02,-3.73283626e-11,9.24593735e-10,
-3.40000000e-02,-3.82645027e-11,9.47686374e-10,
-3.50000000e-02,-3.92237354e-11,9.70779013e-10,
-3.60000000e-02,-4.02060607e-11,9.93871652e-10,
-3.70000000e-02,-4.12114787e-11,1.01785247e-09,
-3.80000000e-02,-4.22417656e-11,1.04272146e-09,
-3.90000000e-02,-4.32969216e-11,1.06847864e-09,
-4.00000000e-02,-4.43787229e-11,1.09423581e-09,
-4.10000000e-02,-4.54853932e-11,1.11999299e-09,
-4.20000000e-02,-4.66187089e-11,1.14752652e-09,
-4.30000000e-02,-4.77804463e-11,1.17417187e-09,
-4.40000000e-02,-4.89670526e-11,1.20170540e-09,
-4.50000000e-02,-5.01838571e-11,1.23190347e-09,
-4.60000000e-02,-5.14308596e-11,1.26210153e-09,
-4.70000000e-02,-5.27080601e-11,1.29052324e-09,
-4.80000000e-02,-5.40119061e-11,1.31983313e-09,
-4.90000000e-02,-5.53477264e-11,1.35358391e-09,
-5.00000000e-02,-5.67190739e-11,1.38733469e-09,
-5.10000000e-02,-5.81223958e-11,1.41753276e-09,
-5.20000000e-02,-5.95541394e-11,1.45217172e-09,
-5.30000000e-02,-6.10267392e-11,1.48681067e-09,
-5.40000000e-02,-6.25277607e-11,1.51967328e-09,
-5.50000000e-02,-6.40660858e-11,1.55786495e-09,
-5.60000000e-02,-6.56434906e-11,1.59428026e-09,
-5.70000000e-02,-6.72546463e-11,1.63069558e-09,
-5.80000000e-02,-6.89048818e-11,1.66888725e-09,
-5.90000000e-02,-7.05924208e-11,1.70707892e-09,
-6.00000000e-02,-7.23190396e-11,1.74793513e-09,
-6.10000000e-02,-7.40882911e-11,1.78967952e-09,
