v-sweep,id,gm,
0.00000000e+00,-2.46125342e-12,6.45039577e-11,
-1.00000000e-03,-2.52664556e-12,6.62803146e-11,
-2.00000000e-03,-2.59381405e-12,6.80011603e-11,
-3.00000000e-03,-2.66264788e-12,6.98885394e-11,
-4.00000000e-03,-2.73359113e-12,7.17204074e-11,
-5.00000000e-03,-2.80608869e-12,7.35522754e-11,
-6.00000000e-03,-2.88069568e-12,7.55506768e-11,
-7.00000000e-03,-2.95719005e-12,7.76601006e-11,
-8.00000000e-03,-3.03601588e-12,7.97695243e-11,
-9.00000000e-03,-3.11672910e-12,8.17679258e-11,
-1.00000000e-02,-3.19955173e-12,8.39328607e-11,
-1.10000000e-02,-3.28459482e-12,8.62643290e-11,
-1.20000000e-02,-3.37208039e-12,8.85402862e-11,
-1.30000000e-02,-3.46167539e-12,9.08717546e-11,
-1.40000000e-02,-3.55382390e-12,9.33142452e-11,
-1.50000000e-02,-3.64830388e-12,9.57567359e-11,
-1.60000000e-02,-3.74533737e-12,9.83657600e-11,
-1.70000000e-02,-3.84503540e-12,1.00974784e-10,
-1.80000000e-02,-3.94728694e-12,1.03639319e-10,
-1.90000000e-02,-4.05231404e-12,1.06359366e-10,
-2.00000000e-02,-4.16000567e-12,1.09190434e-10,
-2.10000000e-02,-4.27069491e-12,1.12021503e-10,
-2.20000000e-02,-4.38404868e-12,1.14963594e-10,
-2.30000000e-02,-4.50062210e-12,1.18016708e-10,
-2.40000000e-02,-4.62008209e-12,1.21180843e-10,
-2.50000000e-02,-4.74298378e-12,1.24511512e-10,
-2.60000000e-02,-4.86910512e-12,1.27620137e-10,
-2.70000000e-02,-4.99822406e-12,1.31061828e-10,
-2.80000000e-02,-5.13122878e-12,1.34559031e-10,
-2.90000000e-02,-5.26734212e-12,1.37945211e-10,
-3.00000000e-02,-5.40711920e-12,1.41664458e-10,
-3.10000000e-02,-5.55067103e-12,1.45383705e-10,
-3.20000000e-02,-5.69788661e-12,1.49158463e-10,
-3.30000000e-02,-5.84898796e-12,1.53155266e-10,
-3.40000000e-02,-6.00419714e-12,1.57152069e-10,
-3.50000000e-02,-6.16329210e-12,1.61259894e-10,
-3.60000000e-02,-6.32671693e-12,1.65534253e-10,
-3.70000000e-02,-6.49436060e-12,1.69753100e-10,
-3.80000000e-02,-6.66622313e-12,1.74193993e-10,
-3.90000000e-02,-6.84274859e-12,1.78801418e-10,
-4.00000000e-02,-7.02382597e-12,1.83464355e-10,
-4.10000000e-02,-7.20967730e-12,1.88293825e-10,
-4.20000000e-02,-7.40041362e-12,1.93123295e-10,
-4.30000000e-02,-7.59592389e-12,1.98119299e-10,
-4.40000000e-02,-7.79665221e-12,2.03337347e-10,
-4.50000000e-02,-8.00259858e-12,2.08666417e-10,
-4.60000000e-02,-8.21398505e-12,2.13995488e-10,
-4.70000000e-02,-8.43058956e-12,2.19602114e-10,
-4.80000000e-02,-8.65318928e-12,2.25375274e-10,
-4.90000000e-02,-8.88134011e-12,2.31037411e-10,
-5.00000000e-02,-9.11526410e-12,2.37032616e-10,
-5.10000000e-02,-9.35540534e-12,2.43194354e-10,
-5.20000000e-02,-9.60165281e-12,2.49467114e-10,
-5.30000000e-02,-9.85433957e-12,2.55961918e-10,
-5.40000000e-02,-1.01135766e-11,2.62512234e-10,
-5.50000000e-02,-1.03793640e-11,2.69340106e-10,
-5.60000000e-02,-1.06522569e-11,2.76334511e-10,
-5.70000000e-02,-1.09320331e-11,2.83162382e-10,
-5.80000000e-02,-1.12185816e-11,2.90378832e-10,
-5.90000000e-02,-1.15127907e-11,2.98039371e-10,
-6.00000000e-02,-1.18146604e-11,3.05699910e-10,
-6.10000000e-02,-1.21241905e-11,3.13526982e-10,
-6.20000000e-02,-1.24417143e-11,3.21520588e-10,
-6.30000000e-02,-1.27672317e-11,3.29625216e-10,
-6.40000000e-02,-1.31009648e-11,3.38062911e-10,
-6.50000000e-02,-1.34433575e-11,3.46722651e-10,
-6.60000000e-02,-1.37944101e-11,3.55493412e-10,
-6.70000000e-02,-1.41543444e-11,3.64597241e-10,
-6.80000000e-02,-1.45236045e-11,3.73867604e-10,
-6.90000000e-02,-1.49020796e-11,3.83248988e-10,
-7.00000000e-02,-1.52901025e-11,3.93074462e-10,
-7.10000000e-02,-1.56882285e-11,4.02899936e-10,
-7.20000000e-02,-1.60959024e-11,4.13058476e-10,
-7.30000000e-02,-1.65143454e-11,4.23605595e-10,
-7.40000000e-02,-1.69431136e-11,4.34208225e-10,
