v-sweep,id,gm,
0.00000000e+00,-9.12336873e-11,2.16182627e-09,
-1.00000000e-03,-9.34221589e-11,2.21511698e-09,
-2.00000000e-03,-9.56639212e-11,2.26663133e-09,
-3.00000000e-03,-9.79554216e-11,2.31814568e-09,
-4.00000000e-03,-1.00300213e-10,2.37143638e-09,
-5.00000000e-03,-1.02698294e-10,2.42117437e-09,
-6.00000000e-03,-1.05142561e-10,2.47624143e-09,
-7.00000000e-03,-1.07650777e-10,2.53486121e-09,
-8.00000000e-03,-1.10212284e-10,2.58992827e-09,
-9.00000000e-03,-1.12830634e-10,2.65032440e-09,
-1.00000000e-02,-1.15512933e-10,2.71249689e-09,
-1.10000000e-02,-1.18255628e-10,2.77111667e-09,
-1.20000000e-02,-1.21055166e-10,2.82796009e-09,
-1.30000000e-02,-1.23911548e-10,2.89190893e-09,
-1.40000000e-02,-1.26838984e-10,2.95763414e-09,
-1.50000000e-02,-1.29826816e-10,3.02158298e-09,
-1.60000000e-02,-1.32882150e-10,3.08908454e-09,
-1.70000000e-02,-1.36004985e-10,3.15658610e-09,
-1.80000000e-02,-1.39195322e-10,3.22586402e-09,
-1.90000000e-02,-1.42456713e-10,3.30047101e-09,
-2.00000000e-02,-1.45796264e-10,3.37152528e-09,
-2.10000000e-02,-1.49199764e-10,3.44080320e-09,
-2.20000000e-02,-1.52677870e-10,3.51363383e-09,
-2.30000000e-02,-1.56227031e-10,3.59179353e-09,
-2.40000000e-02,-1.59861457e-10,3.67350594e-09,
-2.50000000e-02,-1.63574043e-10,3.75344200e-09,
-2.60000000e-02,-1.67368341e-10,3.83337806e-09,
-2.70000000e-02,-1.71240799e-10,3.91686683e-09,
-2.80000000e-02,-1.75202075e-10,4.00035560e-09,
-2.90000000e-02,-1.79241511e-10,4.08029166e-09,
-3.00000000e-02,-1.83362658e-10,4.16910950e-09,
-3.10000000e-02,-1.87579730e-10,4.25792734e-09,
-3.20000000e-02,-1.91878513e-10,4.34852154e-09,
-3.30000000e-02,-1.96276773e-10,4.44266846e-09,
-3.40000000e-02,-2.00763850e-10,4.53503901e-09,
-3.50000000e-02,-2.05346851e-10,4.63096228e-09,
-3.60000000e-02,-2.10025775e-10,4.72688555e-09,
-3.70000000e-02,-2.14800622e-10,4.82636153e-09,
-3.80000000e-02,-2.19678498e-10,4.92761387e-09,
-3.90000000e-02,-2.24655849e-10,5.03064257e-09,
-4.00000000e-02,-2.29739783e-10,5.13722398e-09,
-4.10000000e-02,-2.34930297e-10,5.24025268e-09,
-4.20000000e-02,-2.40220288e-10,5.34505773e-09,
-4.30000000e-02,-2.45620413e-10,5.46052092e-09,
-4.40000000e-02,-2.51141330e-10,5.57243141e-09,
-4.50000000e-02,-2.56765276e-10,5.68256553e-09,
-4.60000000e-02,-2.62506461e-10,5.80335779e-09,
-4.70000000e-02,-2.68371991e-10,5.92059735e-09,
-4.80000000e-02,-2.74347656e-10,6.03961325e-09,
-4.90000000e-02,-2.80451218e-10,6.16040552e-09,
-5.00000000e-02,-2.86668467e-10,6.28119778e-09,
-5.10000000e-02,-2.93013613e-10,6.41442455e-09,
-5.20000000e-02,-2.99497316e-10,6.54587495e-09,
-5.30000000e-02,-3.06105363e-10,6.67021993e-09,
-5.40000000e-02,-3.12837756e-10,6.79989398e-09,
-5.50000000e-02,-3.19705151e-10,6.94022617e-09,
-5.60000000e-02,-3.26718208e-10,7.08055836e-09,
-5.70000000e-02,-3.33866268e-10,7.22089055e-09,
-5.80000000e-02,-3.41159989e-10,7.36299910e-09,
-5.90000000e-02,-3.48592266e-10,7.50333129e-09,
-6.00000000e-02,-3.56166652e-10,7.65432162e-09,
-6.10000000e-02,-3.63900909e-10,7.80708831e-09,
-6.20000000e-02,-3.71780828e-10,7.95630228e-09,
-6.30000000e-02,-3.79813514e-10,8.10906897e-09,
-6.40000000e-02,-3.87998966e-10,8.26894109e-09,
-6.50000000e-02,-3.96351396e-10,8.42881320e-09,
-6.60000000e-02,-4.04856593e-10,8.58868532e-09,
-6.70000000e-02,-4.13528767e-10,8.75566286e-09,
-6.80000000e-02,-4.22367918e-10,8.92086405e-09,
-6.90000000e-02,-4.31370495e-10,9.09317066e-09,
-7.00000000e-02,-4.40554260e-10,9.27080634e-09,
-7.10000000e-02,-4.49912108e-10,9.44666567e-09,
-7.20000000e-02,-4.59447591e-10,9.62430136e-09,
-7.30000000e-02,-4.69160710e-10,9.80726611e-09,
-7.40000000e-02,-4.79062123e-10,9.99023086e-09,
-7.50000000e-02,-4.89141172e-10,1.01749720e-08,
-7.60000000e-02,-4.99412067e-10,1.03703712e-08,
-7.70000000e-02,-5.09881914e-10,1.05639941e-08,
-7.80000000e-02,-5.20540056e-10,1.07576170e-08,
-7.90000000e-02,-5.31397149e-10,1.09618981e-08,
-8.00000000e-02,-5.42463852e-10,1.11679554e-08,
-8.10000000e-02,-5.53733059e-10,1.13669074e-08,
-8.20000000e-02,-5.65197666e-10,1.15747412e-08,
-8.30000000e-02,-5.76882542e-10,1.17914567e-08,
-8.40000000e-02,-5.88780580e-10,1.20081722e-08,
-8.50000000e-02,-6.00898886e-10,1.22284405e-08,
-8.60000000e-02,-6.13237461e-10,1.24504851e-08,
-8.70000000e-02,-6.25799856e-10,1.26778588e-08,
-8.80000000e-02,-6.38593178e-10,1.29052324e-08,
-8.90000000e-02,-6.51610321e-10,1.31361588e-08,
