v-sweep,id,gm,
0.00000000e+00,-2.01950456e-10,4.55280258e-09,
-1.00000000e-03,-2.06547668e-10,4.64162042e-09,
-2.00000000e-03,-2.11233697e-10,4.73576733e-09,
-3.00000000e-03,-2.16019203e-10,4.84057239e-09,
-4.00000000e-03,-2.20914842e-10,4.94182473e-09,
-5.00000000e-03,-2.25902852e-10,5.04130071e-09,
-6.00000000e-03,-2.30997443e-10,5.14610576e-09,
-7.00000000e-03,-2.36195064e-10,5.25268717e-09,
-8.00000000e-03,-2.41502818e-10,5.36282130e-09,
-9.00000000e-03,-2.46920706e-10,5.47295542e-09,
-1.00000000e-02,-2.52448729e-10,5.58308955e-09,
-1.10000000e-02,-2.58086885e-10,5.69677638e-09,
-1.20000000e-02,-2.63842281e-10,5.81401594e-09,
-1.30000000e-02,-2.69714917e-10,5.93658456e-09,
-1.40000000e-02,-2.75715450e-10,6.05204775e-09,
-1.50000000e-02,-2.81819013e-10,6.17284002e-09,
-1.60000000e-02,-2.88061131e-10,6.30606678e-09,
-1.70000000e-02,-2.94431146e-10,6.42330633e-09,
-1.80000000e-02,-3.00907743e-10,6.55475674e-09,
-1.90000000e-02,-3.07540660e-10,6.68798350e-09,
-2.00000000e-02,-3.14283710e-10,6.82298662e-09,
-2.10000000e-02,-3.21186633e-10,6.95798974e-09,
-2.20000000e-02,-3.28199690e-10,7.08944015e-09,
-2.30000000e-02,-3.35365513e-10,7.23865412e-09,
-2.40000000e-02,-3.42676998e-10,7.37720995e-09,
-2.50000000e-02,-3.50119933e-10,7.52109486e-09,
-2.60000000e-02,-3.57719188e-10,7.66853248e-09,
-2.70000000e-02,-3.65456998e-10,7.81419374e-09,
-2.80000000e-02,-3.73347575e-10,7.97406585e-09,
-2.90000000e-02,-3.81405130e-10,8.12860890e-09,
-3.00000000e-02,-3.89604793e-10,8.28137559e-09,
-3.10000000e-02,-3.97967881e-10,8.44480041e-09,
-3.20000000e-02,-4.06494394e-10,8.60467253e-09,
-3.30000000e-02,-4.15177226e-10,8.76987372e-09,
-3.40000000e-02,-4.24034141e-10,8.93862762e-09,
-3.50000000e-02,-4.33054481e-10,9.10915787e-09,
-3.60000000e-02,-4.42252457e-10,9.28856991e-09,
-3.70000000e-02,-4.51631621e-10,9.46087653e-09,
-3.80000000e-02,-4.61174210e-10,9.64206492e-09,
-3.90000000e-02,-4.70915751e-10,9.82325332e-09,
-4.00000000e-02,-4.80820717e-10,1.00008890e-08,
-4.10000000e-02,-4.90917529e-10,1.01962883e-08,
-4.20000000e-02,-5.01213293e-10,1.03845821e-08,
-4.30000000e-02,-5.11686693e-10,1.05764286e-08,
-4.40000000e-02,-5.22366150e-10,1.07789333e-08,
-4.50000000e-02,-5.33244560e-10,1.09761089e-08,
-4.60000000e-02,-5.44318368e-10,1.11768372e-08,
-4.70000000e-02,-5.55598234e-10,1.13846710e-08,
-4.80000000e-02,-5.67087710e-10,1.15978338e-08,
-4.90000000e-02,-5.78793902e-10,1.18109966e-08,
-5.00000000e-02,-5.90709703e-10,1.20206067e-08,
-5.10000000e-02,-6.02835115e-10,1.22408750e-08,
-5.20000000e-02,-6.15191453e-10,1.24682487e-08,
-5.30000000e-02,-6.27771612e-10,1.26938460e-08,
-5.40000000e-02,-6.40579145e-10,1.29212196e-08,
-5.50000000e-02,-6.53614052e-10,1.31503697e-08,
-5.60000000e-02,-6.66879885e-10,1.33884015e-08,
-5.70000000e-02,-6.80390855e-10,1.36335387e-08,
-5.80000000e-02,-6.94146962e-10,1.38751233e-08,
-5.90000000e-02,-7.08141101e-10,1.41238132e-08,
-6.00000000e-02,-7.22394589e-10,1.43725032e-08,
-6.10000000e-02,-7.36886108e-10,1.46229695e-08,
-6.20000000e-02,-7.51640528e-10,1.48840940e-08,
-6.30000000e-02,-7.66654296e-10,1.51487711e-08,
-6.40000000e-02,-7.81938070e-10,1.54152247e-08,
-6.50000000e-02,-7.97484745e-10,1.56870072e-08,
-6.60000000e-02,-8.13312084e-10,1.59623426e-08,
-6.70000000e-02,-8.29409430e-10,1.62341252e-08,
-6.80000000e-02,-8.45780335e-10,1.65218950e-08,
-6.90000000e-02,-8.62453220e-10,1.68061121e-08,
-7.00000000e-02,-8.79392559e-10,1.70921055e-08,
-7.10000000e-02,-8.96637431e-10,1.73958625e-08,
-7.20000000e-02,-9.14184284e-10,1.76942905e-08,
-7.30000000e-02,-9.32026012e-10,1.79927184e-08,
-7.40000000e-02,-9.50169721e-10,1.83000282e-08,
-7.50000000e-02,-9.68626068e-10,1.86144433e-08,
-7.60000000e-02,-9.87398607e-10,1.89359639e-08,
-7.70000000e-02,-1.00649800e-09,1.92574845e-08,
-7.80000000e-02,-1.02591358e-09,1.95772287e-08,
-7.90000000e-02,-1.04565245e-09,1.99076311e-08,
-8.00000000e-02,-1.06572884e-09,2.02433625e-08,
-8.10000000e-02,-1.08613918e-09,2.05861994e-08,
-8.20000000e-02,-1.10690124e-09,2.09290363e-08,
-8.30000000e-02,-1.12799725e-09,2.12789786e-08,
-8.40000000e-02,-1.14945919e-09,2.16378027e-08,
-8.50000000e-02,-1.17127286e-09,2.19948504e-08,
-8.60000000e-02,-1.19344890e-09,2.23607799e-08,
-8.70000000e-02,-1.21599442e-09,2.27267094e-08,
-8.80000000e-02,-1.23890231e-09,2.31015207e-08,
-8.90000000e-02,-1.26219746e-09,2.34869901e-08,
-9.00000000e-02,-1.28587629e-09,2.38742359e-08,
-9.10000000e-02,-1.30994593e-09,2.42614817e-08,
-9.20000000e-02,-1.33439926e-09,2.46540566e-08,
-9.30000000e-02,-1.35925404e-09,2.50590659e-08,
-9.40000000e-02,-1.38451739e-09,2.54729571e-08,
-9.50000000e-02,-1.41019996e-09,2.58850719e-08,
-9.60000000e-02,-1.43628753e-09,2.62971867e-08,
-9.70000000e-02,-1.46279433e-09,2.67235123e-08,
-9.80000000e-02,-1.48973456e-09,2.71587197e-08,
-9.90000000e-02,-1.51711177e-09,2.75921508e-08,
-1.00000000e-01,-1.54491886e-09,2.80326873e-08,
-1.01000000e-01,-1.57317714e-09,2.84838819e-08,
-1.02000000e-01,-1.60188662e-09,2.89386293e-08,
-1.03000000e-01,-1.63105440e-09,2.94022584e-08,
-1.04000000e-01,-1.66069114e-09,2.98729930e-08,
-1.05000000e-01,-1.69080039e-09,3.03437275e-08,
-1.06000000e-01,-1.72137860e-09,3.08268966e-08,
-1.07000000e-01,-1.75245418e-09,3.13153947e-08,
-1.08000000e-01,-1.78400938e-09,3.18038929e-08,
-1.09000000e-01,-1.81606197e-09,3.23066018e-08,
-1.10000000e-01,-1.84862259e-09,3.28164163e-08,
-1.11000000e-01,-1.88169480e-09,3.33280070e-08,
-1.12000000e-01,-1.91527860e-09,3.38467032e-08,
-1.13000000e-01,-1.94938821e-09,3.43796103e-08,
-1.14000000e-01,-1.98403782e-09,3.49160700e-08,
-1.15000000e-01,-2.01922035e-09,3.54578589e-08,
-1.16000000e-01,-2.05495354e-09,3.60085295e-08,
-1.17000000e-01,-2.09123741e-09,3.65680819e-08,
-1.18000000e-01,-2.12808970e-09,3.71365161e-08,
-1.19000000e-01,-2.16551044e-09,3.77049503e-08,
-1.20000000e-01,-2.20349961e-09,3.82822662e-08,
-1.21000000e-01,-2.24207497e-09,3.88773458e-08,
-1.22000000e-01,-2.28125430e-09,3.94813071e-08,
-1.23000000e-01,-2.32103758e-09,4.00781630e-08,
-1.24000000e-01,-2.36141062e-09,4.06874534e-08,
-1.25000000e-01,-2.40241249e-09,4.13127310e-08,
-1.26000000e-01,-2.44403608e-09,4.19451140e-08,
-1.27000000e-01,-2.48630272e-09,4.25828262e-08,
-1.28000000e-01,-2.52920174e-09,4.32294200e-08,
-1.29000000e-01,-2.57276156e-09,4.38902248e-08,
-1.30000000e-01,-2.61698219e-09,4.45492532e-08,
-1.31000000e-01,-2.66186007e-09,4.52242688e-08,
-1.32000000e-01,-2.70743072e-09,4.59134952e-08,
-1.33000000e-01,-2.75368706e-09,4.66009453e-08,
-1.34000000e-01,-2.80063261e-09,4.73026063e-08,
-1.35000000e-01,-2.84829227e-09,4.80131490e-08,
-1.36000000e-01,-2.89665891e-09,4.87361262e-08,
-1.37000000e-01,-2.94576452e-09,4.94679853e-08,
