id,vds,r0
-6.5869725100e-33,0.0000000000e+00,1.1914236957e+07
-8.3933197200e-11,-1.0000000000e-03,1.2052217058e+07
-1.6598712000e-10,-2.0000000000e-03,1.2331239084e+07
-2.4616622600e-10,-3.0000000000e-03,1.2622705998e+07
-3.2447584900e-10,-4.0000000000e-03,1.2927322234e+07
-4.0092217000e-10,-5.0000000000e-03,1.3245824744e+07
-4.7551243500e-10,-6.0000000000e-03,1.3578995368e+07
-5.4825481700e-10,-7.0000000000e-03,1.3927661944e+07
-6.1915861300e-10,-8.0000000000e-03,1.4292697454e+07
-6.8823416400e-10,-9.0000000000e-03,1.4675030081e+07
-7.5549294600e-10,-1.0000000000e-02,1.5075630004e+07
-8.2094764300e-10,-1.1000000000e-02,1.5495503387e+07
-8.8461227200e-10,-1.2000000000e-02,1.5935725163e+07
-9.4650198800e-10,-1.3000000000e-02,1.6397426528e+07
-1.0066333000e-09,-1.4000000000e-02,1.6881764981e+07
-1.0650241200e-09,-1.5000000000e-02,1.7389994887e+07
-1.1216934600e-09,-1.6000000000e-02,1.7923338336e+07
-1.1766622700e-09,-1.7000000000e-02,1.8483147205e+07
-1.2299522000e-09,-1.8000000000e-02,1.9070814339e+07
-1.2815867800e-09,-1.9000000000e-02,1.9687641196e+07
-1.3315910600e-09,-2.0000000000e-02,2.0335150183e+07
-1.3799909500e-09,-2.1000000000e-02,2.1014812487e+07
-1.4268142200e-09,-2.2000000000e-02,2.1728098922e+07
-1.4720896700e-09,-2.3000000000e-02,2.2476505538e+07
-1.5158477300e-09,-2.4000000000e-02,2.3261496133e+07
-1.5581199700e-09,-2.5000000000e-02,2.4084652887e+07
-1.5989389800e-09,-2.6000000000e-02,2.4947507145e+07
-1.6383385200e-09,-2.7000000000e-02,2.5851418958e+07
-1.6763536700e-09,-2.8000000000e-02,2.6797812921e+07
-1.7130201700e-09,-2.9000000000e-02,2.7787978693e+07
-1.7483750000e-09,-3.0000000000e-02,2.8823230728e+07
-1.7824554100e-09,-3.1000000000e-02,2.9904840379e+07
-1.8152994700e-09,-3.2000000000e-02,3.1033592798e+07
-1.8469461500e-09,-3.3000000000e-02,3.2210504311e+07
-1.8774342100e-09,-3.4000000000e-02,3.3436461751e+07
-1.9068029400e-09,-3.5000000000e-02,3.4711916762e+07
-1.9350917500e-09,-3.6000000000e-02,3.6036848968e+07
-1.9623406200e-09,-3.7000000000e-02,3.7411876717e+07
-1.9885881800e-09,-3.8000000000e-02,3.8836694079e+07
-2.0138741800e-09,-3.9000000000e-02,4.0311258942e+07
-2.0382364700e-09,-4.0000000000e-02,4.1834240198e+07
-2.0617145800e-09,-4.1000000000e-02,4.3405223317e+07
-2.0843450300e-09,-4.2000000000e-02,4.5023246354e+07
-2.1061655800e-09,-4.3000000000e-02,4.6686058855e+07
-2.1272123000e-09,-4.4000000000e-02,4.8392984260e+07
-2.1475202700e-09,-4.5000000000e-02,5.0141037790e+07
-2.1671245900e-09,-4.6000000000e-02,5.1927852153e+07
-2.1860585600e-09,-4.7000000000e-02,5.3752012957e+07
-2.2043543700e-09,-4.8000000000e-02,5.5609039379e+07
-2.2220443300e-09,-4.9000000000e-02,5.7497425043e+07
-2.2391576400e-09,-5.0000000000e-02,5.9413187994e+07
-2.2557246100e-09,-5.1000000000e-02,6.1352714566e+07
-2.2717725500e-09,-5.2000000000e-02,6.3312751080e+07
-2.2873291000e-09,-5.3000000000e-02,6.5288850622e+07
-2.3024198100e-09,-5.4000000000e-02,6.7278892951e+07
-2.3170692000e-09,-5.5000000000e-02,6.9277245060e+07
-2.3313013700e-09,-5.6000000000e-02,7.1280963693e+07
-2.3451383100e-09,-5.7000000000e-02,7.3285831287e+07
-2.3586019800e-09,-5.8000000000e-02,7.5287284505e+07
-2.3717126000e-09,-5.9000000000e-02,7.7284399337e+07
-2.3844890500e-09,-6.0000000000e-02,7.9271612866e+07
-2.3969501900e-09,-6.1000000000e-02,8.1243577555e+07
-2.4091135800e-09,-6.2000000000e-02,8.3197035649e+07
-2.4209960700e-09,-6.3000000000e-02,8.5133595951e+07
-2.4326121100e-09,-6.4000000000e-02,8.7047651542e+07
-2.4439774600e-09,-6.5000000000e-02,8.8934105264e+07
-2.4551056700e-09,-6.6000000000e-02,9.0790442669e+07
-2.4660107300e-09,-6.7000000000e-02,9.2615778330e+07
-2.4767044000e-09,-6.8000000000e-02,9.4410041756e+07
-2.4871986700e-09,-6.9000000000e-02,9.6168450045e+07
-2.4975046500e-09,-7.0000000000e-02,9.7890441314e+07
-2.5076327700e-09,-7.1000000000e-02,9.9570567082e+07
-2.5175936900e-09,-7.2000000000e-02,1.0121302611e+08
-2.5273956300e-09,-7.3000000000e-02,1.0281762717e+08
-2.5370479100e-09,-7.4000000000e-02,1.0437980043e+08
-2.5465585200e-09,-7.5000000000e-02,1.0589787155e+08
-2.5559359100e-09,-7.6000000000e-02,1.0736738779e+08
-2.5651878400e-09,-7.7000000000e-02,1.0879974459e+08
-2.5743198700e-09,-7.8000000000e-02,1.1018959259e+08
-2.5833397600e-09,-7.9000000000e-02,1.1153140683e+08
-2.5922533000e-09,-8.0000000000e-02,1.1283419320e+08
-2.6010660300e-09,-8.1000000000e-02,1.1409410449e+08
-2.6097837200e-09,-8.2000000000e-02,1.1530410563e+08
-2.6184123800e-09,-8.3000000000e-02,1.1647414375e+08
