id,vds,r0
-2.4795062200e-42,0.0000000000e+00,8.5283837960e+08
-1.1725551100e-12,-1.0000000000e-03,8.6188447579e+08
-2.3209975600e-12,-2.0000000000e-03,8.8018070637e+08
-3.4453273600e-12,-3.0000000000e-03,8.9924734045e+08
-4.5456000100e-12,-4.0000000000e-03,9.1917586372e+08
-5.6217253100e-12,-5.0000000000e-03,9.3999477536e+08
-6.6738142800e-12,-6.0000000000e-03,9.6169621302e+08
-7.7019363100e-12,-7.0000000000e-03,9.8441970692e+08
-8.7060358900e-12,-8.0000000000e-03,1.0081371702e+09
-9.6863628200e-12,-9.0000000000e-03,1.0329533621e+09
-1.0642820000e-11,-1.0000000000e-02,1.0588946278e+09
-1.1575712600e-11,-1.1000000000e-02,1.0860531708e+09
-1.2484957500e-11,-1.2000000000e-02,1.1144914518e+09
-1.3370860000e-11,-1.3000000000e-02,1.1441933627e+09
-1.4233531000e-11,-1.4000000000e-02,1.1753080722e+09
-1.5073164900e-11,-1.5000000000e-02,1.2078789246e+09
-1.5889956000e-11,-1.6000000000e-02,1.2418712736e+09
-1.6684265100e-11,-1.7000000000e-02,1.2776025608e+09
-1.7456036600e-11,-1.8000000000e-02,1.3149887484e+09
-1.8205825700e-11,-1.9000000000e-02,1.3539336919e+09
-1.8933854500e-11,-2.0000000000e-02,1.3948813440e+09
-1.9640289400e-11,-2.1000000000e-02,1.4376736218e+09
-2.0325630100e-11,-2.2000000000e-02,1.4823997443e+09
-2.0990098500e-11,-2.3000000000e-02,1.5289956893e+09
-2.1634305500e-11,-2.4000000000e-02,1.5777559932e+09
-2.2258361800e-11,-2.5000000000e-02,1.6288857801e+09
-2.2862767200e-11,-2.6000000000e-02,1.6820248723e+09
-2.3448021300e-11,-2.7000000000e-02,1.7373275715e+09
-2.4014568100e-11,-2.8000000000e-02,1.7952440852e+09
-2.4562685200e-11,-2.9000000000e-02,1.8552806184e+09
-2.5093149800e-11,-3.0000000000e-02,1.9172635609e+09
-2.5606405900e-11,-3.1000000000e-02,1.9824832206e+09
-2.6102564600e-11,-3.2000000000e-02,2.0500837437e+09
-2.6582514000e-11,-3.3000000000e-02,2.1197920977e+09
-2.7046587200e-11,-3.4000000000e-02,2.1913809086e+09
-2.7495672400e-11,-3.5000000000e-02,2.2661471613e+09
-2.7929658600e-11,-3.6000000000e-02,2.3435477770e+09
-2.8349544900e-11,-3.7000000000e-02,2.4222882504e+09
-2.8755775500e-11,-3.8000000000e-02,2.5033441304e+09
-2.9148905500e-11,-3.9000000000e-02,2.5874807794e+09
-2.9529156900e-11,-4.0000000000e-02,2.6729160065e+09
-2.9897528900e-11,-4.1000000000e-02,2.7592672248e+09
-3.0254354600e-11,-4.2000000000e-02,2.8491570379e+09
-3.0599856000e-11,-4.3000000000e-02,2.9406194079e+09
-3.0934810300e-11,-4.4000000000e-02,3.0337029766e+09
-3.1259439500e-11,-4.5000000000e-02,3.1266574203e+09
-3.1574742800e-11,-4.6000000000e-02,3.2199971499e+09
-3.1880831300e-11,-4.7000000000e-02,3.3172110548e+09
-3.2177927000e-11,-4.8000000000e-02,3.4137697647e+09
-3.2466918000e-11,-4.9000000000e-02,3.5109460636e+09
-3.2747804500e-11,-5.0000000000e-02,3.6077078851e+09
-3.3021474400e-11,-5.1000000000e-02,3.7041790171e+09
-3.3287928000e-11,-5.2000000000e-02,3.8017235241e+09
-3.3547720200e-11,-5.3000000000e-02,3.8987607558e+09
-3.3801073100e-11,-5.4000000000e-02,3.9954695362e+09
-3.4048430700e-11,-5.5000000000e-02,4.0896598079e+09
-3.4290237300e-11,-5.6000000000e-02,4.1867235297e+09
-3.4526270700e-11,-5.7000000000e-02,4.2819239525e+09
-3.4757419200e-11,-5.8000000000e-02,4.3701091297e+09
-3.4984015700e-11,-5.9000000000e-02,4.4588242258e+09
-3.5206060300e-11,-6.0000000000e-02,4.5500191056e+09
-3.5423664000e-11,-6.1000000000e-02,4.6389018992e+09
-3.5637270900e-11,-6.2000000000e-02,4.7239801200e+09
-3.5847103100e-11,-6.3000000000e-02,4.8044549769e+09
-3.6053604500e-11,-6.4000000000e-02,4.8880803812e+09
-3.6256331300e-11,-6.5000000000e-02,4.9686292844e+09
-3.6456171400e-11,-6.6000000000e-02,5.0438452856e+09
-3.6652902900e-11,-6.7000000000e-02,5.1182027417e+09
-3.6846969900e-11,-6.8000000000e-02,5.1859074491e+09
-3.7038594400e-11,-6.9000000000e-02,5.2587489975e+09
-3.7227332300e-11,-7.0000000000e-02,5.3268540539e+09
-3.7414071800e-11,-7.1000000000e-02,5.3841713718e+09
-3.7598813000e-11,-7.2000000000e-02,5.4528750807e+09
-3.7780889500e-11,-7.3000000000e-02,5.5193838707e+09
-3.7961189700e-11,-7.4000000000e-02,5.5705225446e+09
-3.8139935700e-11,-7.5000000000e-02,5.6263375304e+09
-3.8316683200e-11,-7.6000000000e-02,5.6757280069e+09
-3.8492320400e-11,-7.7000000000e-02,5.7190834345e+09
-3.8666403400e-11,-7.8000000000e-02,5.7741491137e+09
-3.8838710000e-11,-7.9000000000e-02,5.8224870921e+09
