id,vds,r0
-1.0406734200e-23,0.0000000000e+00,1.4845376386e+05
-6.7361040500e-09,-1.0000000000e-03,1.5006781142e+05
-1.3330328200e-08,-2.0000000000e-03,1.5332845901e+05
-1.9783065300e-08,-3.0000000000e-03,1.5672368575e+05
-2.6094757800e-08,-4.0000000000e-03,1.6026064053e+05
-3.2265900500e-08,-5.0000000000e-03,1.6394687512e+05
-3.8297043500e-08,-6.0000000000e-03,1.6779037512e+05
-4.4188794200e-08,-7.0000000000e-03,1.7179956904e+05
-4.9941821000e-08,-8.0000000000e-03,1.7598335120e+05
-5.5556855200e-08,-9.0000000000e-03,1.8035110600e+05
-6.1034694200e-08,-1.0000000000e-02,1.8491271059e+05
-6.6376204400e-08,-1.1000000000e-02,1.8967856568e+05
-7.1582323400e-08,-1.2000000000e-02,1.9465960971e+05
-7.6654062800e-08,-1.3000000000e-02,1.9986731735e+05
-8.1592511000e-08,-1.4000000000e-02,2.0531372113e+05
-8.6398835100e-08,-1.5000000000e-02,2.1101142105e+05
-9.1074283200e-08,-1.6000000000e-02,2.1697357015e+05
-9.5620186700e-08,-1.7000000000e-02,2.2321389902e+05
-1.0003796100e-07,-1.8000000000e-02,2.2974665948e+05
-1.0432910900e-07,-1.9000000000e-02,2.3658664422e+05
-1.0849522000e-07,-2.0000000000e-02,2.4374926071e+05
-1.1253796900e-07,-2.1000000000e-02,2.5125029326e+05
-1.1645912200e-07,-2.2000000000e-02,2.5910597319e+05
-1.2026053100e-07,-2.3000000000e-02,2.6733301368e+05
-1.2394413500e-07,-2.4000000000e-02,2.7594832220e+05
-1.2751196100e-07,-2.5000000000e-02,2.8496926559e+05
-1.3096611500e-07,-2.6000000000e-02,2.9441322446e+05
-1.3430879000e-07,-2.7000000000e-02,3.0429777565e+05
-1.3754225100e-07,-2.8000000000e-02,3.1464041321e+05
-1.4066884300e-07,-2.9000000000e-02,3.2545838439e+05
-1.4369097800e-07,-3.0000000000e-02,3.3676889676e+05
-1.4661113300e-07,-3.1000000000e-02,3.4858829984e+05
-1.4943184900e-07,-3.2000000000e-02,3.6093267753e+05
-1.5215571500e-07,-3.3000000000e-02,3.7381714454e+05
-1.5478537300e-07,-3.4000000000e-02,3.8725573936e+05
-1.5732350200e-07,-3.5000000000e-02,4.0126158687e+05
-1.5977281500e-07,-3.6000000000e-02,4.1584607074e+05
-1.6213605200e-07,-3.7000000000e-02,4.3101908773e+05
-1.6441597000e-07,-3.8000000000e-02,4.4678871119e+05
-1.6661533700e-07,-3.9000000000e-02,4.6316080068e+05
-1.6873692400e-07,-4.0000000000e-02,4.8013919942e+05
-1.7078349500e-07,-4.1000000000e-02,4.9772522730e+05
-1.7275780200e-07,-4.2000000000e-02,5.1591746939e+05
-1.7466257600e-07,-4.3000000000e-02,5.3471172051e+05
-1.7650052100e-07,-4.4000000000e-02,5.5410102077e+05
-1.7827430500e-07,-4.5000000000e-02,5.7407514401e+05
