v-sweep,id,gm,
0.00000000e+00,-4.66648942e-12,1.18127730e-10,
-1.00000000e-03,-4.78639350e-12,1.21680443e-10,
-2.00000000e-03,-4.90985030e-12,1.25677246e-10,
-3.00000000e-03,-5.03774800e-12,1.28785871e-10,
-4.00000000e-03,-5.16742205e-12,1.31672451e-10,
-5.00000000e-03,-5.30109290e-12,1.35669254e-10,
-6.00000000e-03,-5.43876055e-12,1.39221967e-10,
-7.00000000e-03,-5.57953683e-12,1.42330592e-10,
-8.00000000e-03,-5.72342174e-12,1.46327395e-10,
-9.00000000e-03,-5.87219162e-12,1.50324198e-10,
-1.00000000e-02,-6.02407013e-12,1.53876911e-10,
-1.10000000e-02,-6.17994544e-12,1.57873714e-10,
-1.20000000e-02,-6.33981756e-12,1.62758695e-10,
-1.30000000e-02,-6.50546284e-12,1.66755498e-10,
-1.40000000e-02,-6.67332856e-12,1.70752301e-10,
-1.50000000e-02,-6.84696744e-12,1.75859327e-10,
-1.60000000e-02,-7.02504721e-12,1.80078175e-10,
-1.70000000e-02,-7.20712379e-12,1.84741111e-10,
-1.80000000e-02,-7.39452943e-12,1.89848137e-10,
-1.90000000e-02,-7.58682006e-12,1.94511074e-10,
-2.00000000e-02,-7.78355158e-12,1.99840144e-10,
-2.10000000e-02,-7.98650035e-12,2.04947170e-10,
-2.20000000e-02,-8.19344592e-12,2.10276241e-10,
-2.30000000e-02,-8.40705283e-12,2.16049401e-10,
-2.40000000e-02,-8.62554472e-12,2.21378471e-10,
-2.50000000e-02,-8.84980977e-12,2.27151631e-10,
-2.60000000e-02,-9.07984798e-12,2.32924791e-10,
-2.70000000e-02,-9.31565936e-12,2.39364084e-10,
-2.80000000e-02,-9.55857615e-12,2.45803378e-10,
-2.90000000e-02,-9.80726611e-12,2.51354493e-10,
-3.00000000e-02,-1.00612851e-11,2.58237876e-10,
-3.10000000e-02,-1.03237419e-11,2.65343303e-10,
-3.20000000e-02,-1.05919717e-11,2.71782596e-10,
-3.30000000e-02,-1.08673071e-11,2.78888024e-10,
-3.40000000e-02,-1.11497478e-11,2.86215496e-10,
-3.50000000e-02,-1.14397380e-11,2.93542968e-10,
-3.60000000e-02,-1.17368337e-11,3.01314529e-10,
-3.70000000e-02,-1.20423671e-11,3.08864045e-10,
-3.80000000e-02,-1.23545618e-11,3.16191517e-10,
-3.90000000e-02,-1.26747501e-11,3.24629212e-10,
-4.00000000e-02,-1.30038202e-11,3.33510997e-10,
-4.10000000e-02,-1.33417721e-11,3.41948692e-10,
-4.20000000e-02,-1.36877176e-11,3.50830476e-10,
-4.30000000e-02,-1.40434331e-11,3.59934305e-10,
-4.40000000e-02,-1.44075862e-11,3.68372000e-10,
-4.50000000e-02,-1.47801771e-11,3.77919918e-10,
-4.60000000e-02,-1.51634261e-11,3.87911925e-10,
-4.70000000e-02,-1.55560009e-11,3.97681887e-10,
-4.80000000e-02,-1.59587898e-11,4.07673895e-10,
