v-sweep,id,gm,
0.00000000e+00,-8.91642316e-12,2.20268248e-10,
-1.00000000e-03,-9.14113230e-12,2.29150032e-10,
-2.00000000e-03,-9.37472322e-12,2.36255460e-10,
-3.00000000e-03,-9.61364321e-12,2.42028619e-10,
-4.00000000e-03,-9.85878046e-12,2.47357690e-10,
-5.00000000e-03,-1.01083586e-11,2.54463117e-10,
-6.00000000e-03,-1.03677067e-11,2.62012634e-10,
-7.00000000e-03,-1.06323839e-11,2.68229883e-10,
-8.00000000e-03,-1.09041665e-11,2.74447132e-10,
-9.00000000e-03,-1.11812781e-11,2.81996648e-10,
-1.00000000e-02,-1.14681598e-11,2.89546165e-10,
-1.10000000e-02,-1.17603705e-11,2.96207503e-10,
-1.20000000e-02,-1.20605748e-11,3.04645198e-10,
-1.30000000e-02,-1.23696609e-11,3.12194715e-10,
-1.40000000e-02,-1.26849642e-11,3.20188320e-10,
-1.50000000e-02,-1.30100375e-11,3.29514194e-10,
-1.60000000e-02,-1.33439926e-11,3.37507799e-10,
-1.70000000e-02,-1.36850531e-11,3.45945494e-10,
-1.80000000e-02,-1.40358836e-11,3.55271368e-10,
-1.90000000e-02,-1.43955958e-11,3.63709063e-10,
-2.00000000e-02,-1.47633017e-11,3.71702669e-10,
-2.10000000e-02,-1.51390012e-11,3.82360810e-10,
-2.20000000e-02,-1.55280233e-11,3.93018951e-10,
-2.30000000e-02,-1.59250391e-11,4.02344824e-10,
-2.40000000e-02,-1.63327130e-11,4.13447054e-10,
-2.50000000e-02,-1.67519332e-11,4.23661106e-10,
-2.60000000e-02,-1.71800352e-11,4.33431069e-10,
-2.70000000e-02,-1.76187953e-11,4.44977388e-10,
-2.80000000e-02,-1.80699899e-11,4.56079619e-10,
-2.90000000e-02,-1.85309545e-11,4.67181849e-10,
-3.00000000e-02,-1.90043536e-11,4.79616347e-10,
-3.10000000e-02,-1.94901872e-11,4.91606755e-10,
-3.20000000e-02,-1.99875672e-11,5.04485342e-10,
-3.30000000e-02,-2.04991579e-11,5.17363929e-10,
-3.40000000e-02,-2.10222950e-11,5.29798427e-10,
-3.50000000e-02,-2.15587548e-11,5.43121104e-10,
-3.60000000e-02,-2.21085372e-11,5.56443780e-10,
-3.70000000e-02,-2.26716423e-11,5.70654635e-10,
-3.80000000e-02,-2.32498465e-11,5.85309579e-10,
-3.90000000e-02,-2.38422615e-11,5.99964523e-10,
-4.00000000e-02,-2.44497755e-11,6.14619466e-10,
-4.10000000e-02,-2.50715004e-11,6.30606678e-10,
-4.20000000e-02,-2.57109889e-11,6.46593890e-10,
-4.30000000e-02,-2.63646882e-11,6.61248833e-10,
-4.40000000e-02,-2.70334866e-11,6.78124223e-10,
-4.50000000e-02,-2.77209367e-11,6.94999613e-10,
-4.60000000e-02,-2.84234858e-11,7.12763182e-10,
-4.70000000e-02,-2.91464630e-11,7.30970839e-10,
-4.80000000e-02,-2.98854275e-11,7.48734408e-10,
-4.90000000e-02,-3.06439318e-11,7.66942065e-10,
