v-sweep,id,gm,
0.00000000e+00,-2.95568015e-11,7.32747196e-10,
-1.00000000e-03,-3.02975423e-11,7.48734408e-10,
-2.00000000e-03,-3.10542703e-11,7.67386155e-10,
-3.00000000e-03,-3.18323146e-11,7.87814258e-10,
-4.00000000e-03,-3.26298988e-11,8.08242362e-10,
-5.00000000e-03,-3.34487993e-11,8.25117752e-10,
-6.00000000e-03,-3.42801343e-11,8.42881320e-10,
-7.00000000e-03,-3.51345619e-11,8.66862138e-10,
-8.00000000e-03,-3.60138586e-11,8.88178420e-10,
-9.00000000e-03,-3.69109188e-11,9.11271059e-10,
-1.00000000e-02,-3.78364007e-11,9.34363698e-10,
-1.10000000e-02,-3.87796462e-11,9.54791801e-10,
-1.20000000e-02,-3.97459843e-11,9.77884440e-10,
-1.30000000e-02,-4.07354150e-11,1.00275344e-09,
-1.40000000e-02,-4.17514912e-11,1.02584607e-09,
-1.50000000e-02,-4.27871072e-11,1.04982689e-09,
-1.60000000e-02,-4.38511449e-11,1.07824860e-09,
-1.70000000e-02,-4.49436044e-11,1.10400578e-09,
-1.80000000e-02,-4.60591565e-11,1.12798659e-09,
-1.90000000e-02,-4.71995776e-11,1.15640830e-09,
-2.00000000e-02,-4.83719731e-11,1.18483001e-09,
-2.10000000e-02,-4.95692376e-11,1.21236354e-09,
-2.20000000e-02,-5.07967002e-11,1.24167343e-09,
-2.30000000e-02,-5.20525845e-11,1.27009514e-09,
-2.40000000e-02,-5.33368905e-11,1.30118138e-09,
-2.50000000e-02,-5.46549472e-11,1.33404399e-09,
-2.60000000e-02,-5.60049784e-11,1.36513023e-09,
-2.70000000e-02,-5.73852077e-11,1.39621648e-09,
-2.80000000e-02,-5.87974114e-11,1.43085543e-09,
-2.90000000e-02,-6.02469186e-11,1.46549439e-09,
-3.00000000e-02,-6.17284002e-11,1.49746882e-09,
-3.10000000e-02,-6.32418562e-11,1.53210777e-09,
-3.20000000e-02,-6.47926157e-11,1.56941127e-09,
-3.30000000e-02,-6.63806787e-11,1.60671476e-09,
-3.40000000e-02,-6.80060452e-11,1.64490643e-09,
-3.50000000e-02,-6.96704916e-11,1.68309811e-09,
-3.60000000e-02,-7.13722415e-11,1.72128978e-09,
-3.70000000e-02,-7.31130712e-11,1.76214598e-09,
-3.80000000e-02,-7.48965334e-11,1.80566673e-09,
-3.90000000e-02,-7.67244046e-11,1.84474658e-09,
-4.00000000e-02,-7.85860266e-11,1.88649096e-09,
-4.10000000e-02,-8.04973865e-11,1.93178806e-09,
-4.20000000e-02,-8.24496027e-11,1.97530881e-09,
-4.30000000e-02,-8.44480041e-11,2.02238226e-09,
-4.40000000e-02,-8.64943672e-11,2.06856754e-09,
-4.50000000e-02,-8.85851392e-11,2.11475282e-09,
